Material,Mechanical Strength / Toughness,Elasticity / Modulus,Density,Hardness,Fatigue Strength,Wear Resistance,Thermal Conductivity,Thermal Expansion,Operating Temperature,Creep Resistance,Corrosion Resistance,Specific Heat,Glass Transition Temperature (Tg),Chemical Compatibility,Cost,Availability,Manufacturability & Weldability,Lifecycle Cost,Recyclability,Toxicity,Sustainability,Compliance
Steel (AISI 1045),570 MPa,210 GPa,7.85 g/cm3,170 HB,350 MPa,High,50 W/mK,12e-6 /K,-20 to 600 °C,Moderate,Low,0.49 J/gK,N/A,Good,0.8 USD/kg,Global,Excellent,120 USD/kg,Yes,Low,Moderate,ASTM
Stainless Steel (304),520 MPa,193 GPa,8.0 g/cm3,200 HB,240 MPa,Medium,16 W/mK,17e-6 /K,-200 to 870 °C,Good,High,0.50 J/gK,N/A,Excellent,2.0 USD/kg,Global,Good,220 USD/kg,Yes,Low,Moderate,"ASTM, ISO"
Aluminum (6061-T6),310 MPa,69 GPa,2.70 g/cm3,95 HB,95 MPa,Low,167 W/mK,23.6e-6 /K,-200 to 200 °C,Low,Medium,0.90 J/gK,N/A,Good,1.8 USD/kg,Global,Excellent,150 USD/kg,Yes,Low,Moderate,ASTM
Copper (C110),210 MPa,110 GPa,8.96 g/cm3,35 HB,70 MPa,Low,401 W/mK,16.5e-6 /K,-200 to 400 °C,Moderate,Medium,0.385 J/gK,N/A,Excellent,6.5 USD/kg,Global,Good,550 USD/kg,Yes,Low,Moderate,ASTM
Titanium (Ti-6Al-4V),900 MPa,114 GPa,4.43 g/cm3,350 HB,500 MPa,Medium,6.7 W/mK,8.6e-6 /K,-250 to 600 °C,Good,High,0.52 J/gK,N/A,Excellent,30.0 USD/kg,Global (specialty),Moderate,3200 USD/kg,Yes,Low,Low,"ASTM, ISO"
Inconel (718),1100 MPa,205 GPa,8.19 g/cm3,400 HB,600 MPa,High,11.4 W/mK,13e-6 /K,-200 to 980 °C,Excellent,High,0.435 J/gK,N/A,Excellent,50.0 USD/kg,Local (specialty),Poor,8000 USD/kg,Yes,Low,Low,ASTM
Magnesium (AZ31),260 MPa,45 GPa,1.78 g/cm3,55 HB,90 MPa,Low,96 W/mK,26e-6 /K,-100 to 150 °C,Low,Low,1.02 J/gK,N/A,Poor,2.5 USD/kg,Global,Moderate,180 USD/kg,Yes,Low,Moderate,ISO
Zinc (Zn),120 MPa,108 GPa,7.14 g/cm3,30 HB,40 MPa,Low,116 W/mK,30e-6 /K,-50 to 250 °C,Low,Medium,0.39 J/gK,N/A,Moderate,2.2 USD/kg,Global,Good,90 USD/kg,Yes,Low,Moderate,ASTM
Brass (Cu-Zn),350 MPa,100 GPa,8.5 g/cm3,70 HB,140 MPa,Medium,120 W/mK,19e-6 /K,-50 to 300 °C,Moderate,High,0.38 J/gK,N/A,Good,3.0 USD/kg,Global,Excellent,240 USD/kg,Yes,Low,Moderate,ASTM
Bronze (Cu-Sn),400 MPa,110 GPa,8.8 g/cm3,80 HB,180 MPa,High,60 W/mK,17e-6 /K,-50 to 400 °C,Good,High,0.38 J/gK,N/A,Excellent,4.0 USD/kg,Global,Good,300 USD/kg,Yes,Low,Moderate,ASTM
Tungsten,800 MPa,400 GPa,19.3 g/cm3,350 HB,500 MPa,Excellent,173 W/mK,4.5e-6 /K,-200 to 3400 °C,Excellent,Low,0.13 J/gK,N/A,Poor,25.0 USD/kg,Local (rare),Poor,4500 USD/kg,Yes,Low,Low,ISO
Cast Iron,200 MPa,100 GPa,7.2 g/cm3,150 HB,120 MPa,High,55 W/mK,10.8e-6 /K,-50 to 900 °C,Moderate,Low,0.46 J/gK,N/A,Moderate,0.6 USD/kg,Global,Poor,80 USD/kg,Yes,Medium,Moderate,ASTM
Carbon Fiber (CFRP),1500 MPa,70-230 GPa,1.6 g/cm3,N/A,900 MPa,Low,10 W/mK (anisotropic),~0 to -1e-6 /K (depending),-60 to 200 °C,Good,Excellent,0.71 J/gK,120 °C (epoxy matrix),Moderate,25.0 USD/kg,Local (specialty),Poor,2000 USD/kg,Limited,Low,Low,ISO
Kevlar (Aramid),3000 MPa (fiber),70 GPa,1.44 g/cm3,N/A,High,Low,0.04 W/mK,~5e-6 /K,-200 to 150 °C,Good,Excellent,1.3 J/gK,N/A,Poor (strong acids),40.0 USD/kg,Local (specialty),Poor,5000 USD/kg,No,Low,Low,None
Polyethylene (HDPE),30 MPa,0.8 GPa,0.95 g/cm3,Rockwell R ~100,10 MPa,Medium,0.5 W/mK,100e-6 /K,-100 to 80 °C,Low,Excellent,1.8 J/gK,-120 °C,Excellent,1.2 USD/kg,Global,Excellent,30 USD/kg,Yes,Low,Moderate,"FDA, RoHS"
Polypropylene (PP),35 MPa,1.5 GPa,0.90 g/cm3,Roughly similar to HDPE,15 MPa,Low,0.22 W/mK,100e-6 /K,-20 to 100 °C,Low,Excellent,1.9 J/gK,-10 °C,Good,1.0 USD/kg,Global,Excellent,25 USD/kg,Yes,Low,Moderate,"FDA, RoHS"
Nylon (PA6),80 MPa,2.8 GPa,1.15 g/cm3,Mild,30 MPa,Good,0.25 W/mK,80e-6 /K,-40 to 120 °C,Moderate,Good,1.7 J/gK,40 °C,Moderate,2.5 USD/kg,Global,Good,60 USD/kg,Yes,Low,Moderate,RoHS
PVC (Rigid),50 MPa,3 GPa,1.38 g/cm3,Moderate,20 MPa,Low,0.19 W/mK,70e-6 /K,-15 to 60 °C,Low,Excellent,0.9 J/gK,80 °C,Good,0.9 USD/kg,Global,Good,20 USD/kg,Yes,Medium,Low,RoHS
Acrylic (PMMA),70 MPa,3.2 GPa,1.18 g/cm3,Moderate,25 MPa,Low,0.2 W/mK,70e-6 /K,-40 to 80 °C,Low,Good,1.47 J/gK,105 °C,Poor (solvents),2.0 USD/kg,Global,Good,45 USD/kg,Limited,Low,Low,FDA
Glass (Soda-lime),60 MPa (tensile),70 GPa,2.5 g/cm3,Poor vs metals,Low,Low,1.05 W/mK,9e-6 /K,-100 to 500 °C,Excellent (brittle),High,0.84 J/gK,560 °C,Moderate,0.5 USD/kg,Global,Poor,40 USD/kg,Yes,Low,Moderate,ISO
Ceramic (Alumina),300 MPa (compressive),300 GPa,3.95 g/cm3,Very high,Low,Excellent,30 W/mK,8e-6 /K,-200 to 1600 °C,Excellent,Excellent,0.88 J/gK,N/A,Excellent,10.0 USD/kg,Global (manufactured),Poor,900 USD/kg,Limited,Low,Low,ISO
Concrete (Normal),30-50 MPa (compressive),30 GPa,2.4 g/cm3,High (surface),Low,Medium,1.7 W/mK,12e-6 /K,-40 to 400 °C,Moderate,Low,0.88 J/gK,N/A,Poor (acids),0.07 USD/kg,Local,Excellent (castable),15 USD/kg,Yes (aggregate),Low,Low,ASTM
Graphene (research grade),~130 GPa (tensile strength of single layer),1000 GPa,0.77 g/cm3 (single layer effective),N/A,High,Excellent,2000 W/mK,-1e-6 /K (approx),-200 to 500 °C,Excellent,Excellent,0.7 J/gK,N/A,Variable,1000 USD/kg (research),Rare,Poor,Very high,Research,Unknown,Low,None
Silicon (Wafer grade),170 MPa (brittle fracture),130 GPa,2.33 g/cm3,High,Low,High,149 W/mK,2.6e-6 /K,-200 to 1414 °C,Excellent,Poor (alkalis),0.7 J/gK,N/A,Poor (acids/alkalis),20.0 USD/kg,Local (specialty),Poor,2000 USD/kg,Limited,Low,Low,ISO
Rubber (Natural NR),20 MPa,0.01-0.1 GPa,0.92 g/cm3,Shore A 30-90,Low,Variable,0.13 W/mK,~100e-6 /K,-50 to 120 °C,Low,Good,1.8 J/gK,-70 °C,Moderate,1.5 USD/kg,Global,Poor (vulcanization),40 USD/kg,Limited,Low,Moderate,RoHS
